variant,query_id,avg_relevance,ndcg@10,recall@10,recall@50,recall@100,precision@10,n_results,n_scored,n_missing,n_relevant
bm25,34,0.9,0.8304013601108066,0.013605442176870748,0.06802721088435375,0.11428571428571428,1.0,100,10,1,735
bm25,35,0.55,0.4955572986899507,0.05813953488372093,0.29069767441860467,0.4941860465116279,1.0,100,10,0,172
bm25,36,0.75,0.7943488781503529,0.0641025641025641,0.3141025641025641,0.4423076923076923,1.0,100,10,3,156
bm25,37,0.55,0.4640892459448287,0.012150668286755772,0.060753341433778855,0.1166464155528554,1.0,100,10,0,823
bm25,38,0.4,0.8242344164474618,0.0330188679245283,0.19811320754716982,0.24528301886792453,0.7,100,10,8,212
bm25,39,0.6,0.5342026865309981,0.06711409395973154,0.33557046979865773,0.6442953020134228,1.0,100,10,0,149
bm25,40,0.75,0.7943488781503529,0.06097560975609756,0.3048780487804878,0.573170731707317,1.0,100,10,1,164
bm25,41,0.7,0.7296281390895474,0.1125,0.5125,0.5625,0.9,100,10,0,80
bm25,42,0.5,0.6193096305012304,0.12,0.14666666666666667,0.14666666666666667,0.9,100,10,37,75
bm25,43,1.0,1.0,0.009514747859181731,0.04376784015223597,0.049476688867745006,1.0,100,10,2,1051
bm25,44,0.7,0.5974503594787547,0.04608294930875576,0.2304147465437788,0.4470046082949309,1.0,100,10,0,217
bm25,45,0.35,0.21994736296542436,0.06542056074766354,0.17757009345794392,0.17757009345794392,0.7,100,10,2,107
bm25,46,0.4444444444444444,0.4473945297212528,0.0784313725490196,0.0784313725490196,0.0784313725490196,0.8888888888888888,100,9,91,102
bm25,47,0.5,1.0,0.1,0.5,0.91,1.0,100,10,0,100
bm25,48,0.55,1.0,0.03546099290780142,0.1773049645390071,0.2801418439716312,1.0,100,10,1,282
bm25,49,0.5,1.0,0.08620689655172414,0.1724137931034483,0.1724137931034483,1.0,100,10,6,116
bm25,50,0.85,0.7874257695338847,0.02557544757033248,0.1278772378516624,0.16624040920716113,1.0,100,10,5,391
bm25,51,0.55,1.0,0.017006802721088437,0.08503401360544217,0.16326530612244897,1.0,100,10,0,588
bm25,52,0.5,1.0,0.007042253521126761,0.035211267605633804,0.06901408450704226,1.0,100,10,1,1420
bm25,53,0.5,1.0,0.01639344262295082,0.08196721311475409,0.16393442622950818,1.0,100,10,0,610
bm25,54,0.55,0.6837553989735177,0.07246376811594203,0.35507246376811596,0.5942028985507246,1.0,100,10,0,138
bm25,55,0.55,1.0,0.058823529411764705,0.29411764705882354,0.5882352941176471,1.0,100,10,0,170
bm25,56,0.3,0.6464018466408364,0.025974025974025976,0.1038961038961039,0.13852813852813853,0.6,100,10,1,231
bm25,57,0.55,1.0,0.05263157894736842,0.2631578947368421,0.4105263157894737,1.0,100,10,0,190
bm25,58,0.65,0.5911002717673957,0.05555555555555555,0.22839506172839505,0.22839506172839505,0.9,100,10,6,162
bm25,59,1.0,1.0,0.06451612903225806,0.3161290322580645,0.6258064516129033,1.0,100,10,0,155
bm25,60,0.3,0.6807487117361722,0.009259259259259259,0.12962962962962962,0.25308641975308643,0.3,100,10,0,324
bm25,61,0.55,1.0,0.06172839506172839,0.30864197530864196,0.3333333333333333,1.0,100,10,4,162
